panel,model,variant,enc,n,MSE,MSE_std,MAE,RMSE,sMAPE,MASE,val_loss
series,gru,fa_local_2d,embeddings,3,0.6457529470322042,0.013710314274847079,0.22779880484243584,0.8035425954695103,65.71627848092152,1.5264668447999263,0.7229131095939213
series,gru,fa_local_3d,embeddings,3,0.6835053005985259,0.014019643303222735,0.23389638530762288,0.8267005339031296,66.7066175001585,1.567769533089183,0.750042753914992
series,gru,fa_local_4d,embeddings,3,0.6891138486513064,0.014038059442232008,0.2353949083491554,0.8300860464183608,65.60983374301783,1.5826995518685365,0.7461649643050299
series,lstm,fa_local_2d,embeddings,3,0.8750459760485967,0.008666999740588642,0.2501684327990801,0.9354274840259134,63.43668321235226,1.6703317259643076,0.8840301020277872
series,lstm,fa_local_3d,embeddings,3,0.7744382923015398,0.16743711074827156,0.2783983953901024,0.874347535002915,73.45380319794305,1.956641559868898,0.8162231453590922
series,lstm,fa_local_4d,embeddings,3,0.7542049526349501,0.20447706557681572,0.2883678407970822,0.8593421055584186,75.88414197459306,2.034454707931955,0.795444162355529
series,moving_average,baseline,none,1,0.03832573598451486,0.0,0.12525651057202,0.1957695992346995,53.80808526639073,0.8093593581324603,
series,random_walk,baseline,none,1,0.054891600079072976,0.0,0.14182099760740982,0.2342895645970451,52.383989640460385,0.9131155192193005,
series,seasonal_naive,baseline,none,1,0.07031604279798158,0.0,0.16808000586247326,0.2651717232247465,59.76785527308367,1.0817210226662597,
series,transformer,fa_local_2d,embeddings,3,0.6784138563707557,0.03728878157460298,0.23096849864262922,0.8233445435616883,64.95424293574372,1.5535209893994428,0.7144831965366999
series,transformer,fa_local_3d,embeddings,3,0.7436492589177388,0.03761402343776415,0.2383220922946472,0.8620791268131957,63.88211728932398,1.5954397390415924,0.7801936169465383
series,transformer,fa_local_4d,embeddings,3,0.6898146637824883,0.02581610152042563,0.23263134337066083,0.8304035710319405,65.28449297311452,1.5612835750169272,0.737960048019886
