model,variant,enc,params,flops_fwd_total,n_forecasts,flops_per_forecast,peak_mem_GB,status,error
gru,onehot,onehot,575106,26311917568,2048,12847616.0,0.863,ok,
gru,embeddings,embeddings,531856,2492465152,2048,1217024.0,0.863,ok,
lstm,onehot,onehot,707202,26311917568,2048,12847616.0,1.077,ok,
lstm,embeddings,embeddings,663952,2492465152,2048,1217024.0,1.076,ok,
transformer,onehot,onehot,980034,26344947712,2048,12863744.0,0.799,ok,
transformer,embeddings,embeddings,936784,2525495296,2048,1233152.0,0.428,ok,
s4,onehot,onehot,444034,47531065344,2048,23208528.0,0.495,ok,
s4,embeddings,embeddings,400784,23711612928,2048,11577936.0,0.468,ok,
mamba2,onehot,onehot,651490,95543099392,2048,46651904.0,1.649,ok,
mamba2,embeddings,embeddings,608240,71723646976,2048,35021312.0,1.380,ok,
mamba3,onehot,onehot,663746,96977551360,2048,47352320.0,1.097,ok,
mamba3,embeddings,embeddings,620496,73158098944,2048,35721728.0,0.831,ok,
gru,embeddings,aggregate,412771,27660288,24,1152512.0,0.081,ok,
lstm,embeddings,aggregate,544867,27660288,24,1152512.0,0.085,ok,
transformer,embeddings,aggregate,817699,28047360,24,1168640.0,0.044,ok,
s4,embeddings,aggregate,281699,2145947648,24,89414485.33333333,0.055,ok,
mamba2,embeddings,aggregate,489155,838963200,24,34956800.0,0.054,ok,
mamba3,embeddings,aggregate,501411,855773184,24,35657216.0,0.048,ok,
gru,asa_2d,onehot,799746,908095237632,30087,30182312.54801077,18.385,ok,
gru,asa_2d,embeddings,596654,212117939712,30087,7050152.548010768,12.796,ok,
gru,asa_3d,onehot,505346,1227250828800,30087,40790069.75770266,19.768,ok,
gru,asa_3d,embeddings,505350,1227250828800,30087,40790069.75770266,19.769,ok,
gru,asa_4d,onehot,554242,1360606385664,30087,45222401.22524679,19.608,ok,
gru,asa_4d,embeddings,554242,1360606385664,30087,45222401.22524679,19.608,ok,
gru,aca_2d,onehot,799746,772359851520,30087,25670882.82381095,18.385,ok,
gru,aca_2d,embeddings,596654,76382553600,30087,2538722.823810948,12.795,ok,
gru,aca_3d,onehot,505090,29924402688,30087,994595.7618905175,12.402,ok,
gru,aca_3d,embeddings,505094,29924402688,30087,994595.7618905175,12.403,ok,
gru,aca_4d,onehot,553730,73870235136,30087,2455221.030212384,12.242,ok,
gru,aca_4d,embeddings,553730,73870235136,30087,2455221.030212384,12.243,ok,
gru,fa_2d,onehot,1308034,1967990238720,30087,65409985.66556985,18.386,ok,
gru,fa_2d,embeddings,1104942,1272012940800,30087,42277825.66556985,12.797,ok,
gru,fa_3d,onehot,1095682,1777333575168,30087,59073140.39844451,12.405,ok,
gru,fa_3d,embeddings,1095686,1777333575168,30087,59073140.39844451,12.405,ok,
gru,fa_4d,onehot,1226626,1821293637120,30087,60534238.61202513,12.245,ok,
gru,fa_4d,embeddings,1226626,1821293637120,30087,60534238.61202513,12.245,ok,
lstm,asa_2d,onehot,931842,908095237632,30087,30182312.54801077,21.527,ok,
lstm,asa_2d,embeddings,728750,212117939712,30087,7050152.548010768,15.939,ok,
lstm,asa_3d,onehot,637442,1227250828800,30087,40790069.75770266,19.767,ok,
lstm,asa_3d,embeddings,637446,1227250828800,30087,40790069.75770266,19.768,ok,
lstm,asa_4d,onehot,686338,1360606385664,30087,45222401.22524679,19.607,ok,
lstm,asa_4d,embeddings,686338,1360606385664,30087,45222401.22524679,19.608,ok,
lstm,aca_2d,onehot,931842,772359851520,30087,25670882.82381095,21.527,ok,
lstm,aca_2d,embeddings,728750,76382553600,30087,2538722.823810948,15.939,ok,
lstm,aca_3d,onehot,637186,29924402688,30087,994595.7618905175,15.546,ok,
lstm,aca_3d,embeddings,637190,29924402688,30087,994595.7618905175,15.547,ok,
lstm,aca_4d,onehot,685826,73870235136,30087,2455221.030212384,15.386,ok,
lstm,aca_4d,embeddings,685826,73870235136,30087,2455221.030212384,15.386,ok,
lstm,fa_2d,onehot,1440130,1967990238720,30087,65409985.66556985,21.530,ok,
lstm,fa_2d,embeddings,1237038,1272012940800,30087,42277825.66556985,15.941,ok,
