model,variant,enc,params,flops_fwd_total,n_forecasts,flops_per_forecast,peak_mem_GB,analytic_rnn_topup,blind_modules,status,error
gru,onehot,onehot,575106,84293976064,2048,41159168.0,1.274,57982058496,,ok,
gru,embeddings,embeddings,531856,60474523648,2048,29528576.0,0.902,57982058496,,ok,
lstm,onehot,onehot,707202,103621328896,2048,50596352.0,1.488,77309411328,,ok,
lstm,embeddings,embeddings,663952,79801876480,2048,38965760.0,1.116,77309411328,,ok,
transformer,onehot,onehot,980034,147744882688,2048,72141056.0,3.123,0,,ok,
transformer,embeddings,embeddings,936784,123925430272,2048,60510464.0,2.752,0,,ok,
s4,onehot,onehot,444034,47531065344,2048,23208528.0,2.140,0,,ok,
s4,embeddings,embeddings,400784,23711612928,2048,11577936.0,1.769,0,,ok,
mamba2,onehot,onehot,651490,95543099392,2048,46651904.0,3.929,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba2,embeddings,embeddings,608240,71723646976,2048,35021312.0,3.558,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba3,onehot,onehot,663746,96977551360,2048,47352320.0,3.756,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
mamba3,embeddings,embeddings,620496,73158098944,2048,35721728.0,3.383,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
gru,embeddings,aggregate,412771,707137536,24,29464064.0,0.082,679477248,,ok,
lstm,embeddings,aggregate,544867,933629952,24,38901248.0,0.086,905969664,,ok,
transformer,embeddings,aggregate,817699,1450702848,24,60445952.0,0.071,0,,ok,
s4,embeddings,aggregate,281699,2145947648,24,89414485.33333333,0.076,0,,ok,
mamba2,embeddings,aggregate,489155,838963200,24,34956800.0,0.080,0,blocks.0:Mamba2;blocks.0.norm:RMSNorm;blocks.1:Mamba2;blocks.1.norm:RMSNorm;blocks.2:Mamba2;blocks.2.norm:RMSNorm;blocks.3:Mamba2;blocks.3.norm:RMSNorm,partial,
mamba3,embeddings,aggregate,501411,855773184,24,35657216.0,0.077,0,blocks.0:Mamba3;blocks.0.B_norm:RMSNorm;blocks.0.C_norm:RMSNorm;blocks.1:Mamba3;blocks.1.B_norm:RMSNorm;blocks.1.C_norm:RMSNorm;blocks.2:Mamba3;blocks.2.B_norm:RMSNorm;blocks.2.C_norm:RMSNorm;blocks.3:Mamba3;blocks.3.B_norm:RMSNorm;blocks.3.C_norm:RMSNorm,partial,
gru,asa_2d,onehot,799746,1759904902656,30087,58493864.54801077,22.505,851809665024,,ok,
gru,asa_2d,embeddings,596654,1063927604736,30087,35361704.54801077,16.917,851809665024,,ok,
gru,asa_3d,onehot,505346,2079060493824,30087,69101621.75770266,27.278,851809665024,,ok,
gru,asa_3d,embeddings,505350,2079060493824,30087,69101621.75770266,27.279,851809665024,,ok,
gru,asa_4d,onehot,554242,2212416050688,30087,73533953.22524679,30.606,851809665024,,ok,
