pair,dMSE,DM_MSE_p,DM_MAE_p,Wilcoxon_p,series_t_p,TOST_p,TOST_equivalent,delta,MSE_lag1_correlation,MSE_LjungBox3_p,MSE_HAC1_p,TOST_HAC1_p,MSE_HAC3_p,TOST_HAC3_p,MSE_HAC6_p,TOST_HAC6_p,MSE_seed_diffs,MSE_seed_direction_agrees,MAE_lag1_correlation,MAE_LjungBox3_p,MAE_HAC1_p,MAE_HAC3_p,MAE_HAC6_p,MAE_seed_diffs,MAE_seed_direction_agrees,DM_MSE_p_Holm27,DM_MAE_p_Holm27,Wilcoxon_p_Holm27,series_t_p_Holm27,TOST_p_Holm27,MSE_HAC1_p_Holm27,MSE_HAC3_p_Holm27,MSE_HAC6_p_Holm27,MAE_HAC1_p_Holm27,MAE_HAC3_p_Holm27,MAE_HAC6_p_Holm27,TOST_HAC1_p_Holm27,TOST_HAC3_p_Holm27,TOST_HAC6_p_Holm27,DM_MSE_p_Holm108,DM_MAE_p_Holm108,Wilcoxon_p_Holm108,series_t_p_Holm108
S4ND-4D vs S4 flat,-0.01106274127960205,3.4627764685928825e-14,0.0016875220431234197,0.0,1.7987556704465977e-47,0.9999999999846345,False,0.0031025923788547518,0.9591768128313911,1.0511312750058734e-05,1.0604428463210434e-11,0.9999999970709721,1.0810156228918575e-09,0.9999998308228437,1.245786545553552e-08,0.9999986764034281,"[0.022982826456427574, -0.04876158758997917, -0.007409464102238417]",False,0.7790465032258999,2.0574204156057358e-05,0.012173421817562419,0.04282070526155139,0.052349511599238084,"[0.014167924411594868, -0.021755415946245193, 0.0026404266245663166]",False,1.0388329405778648e-13,0.008437610215617099,0.0,1.2591289693126184e-46,1.0,3.1813285389631305e-11,3.2430468686755724e-09,3.737359636660656e-08,0.060867109087812094,0.21410352630775698,0.2617475579961904,1.0,1.0,1.0,5.8867199966079e-13,0.011812654301863937,0.0,1.1152285156768906e-45
S4 flat vs Transformer,-0.7153252959251404,9.541238794931356e-55,3.369175135420275e-39,0.0,9.20809014537398e-76,1.0,False,0.038868856430053715,0.7113084433174472,0.00015029678171059378,4.595626145400918e-52,1.0,5.496145670384485e-50,1.0,1.4017205073523587e-49,1.0,"[-0.7243719100952148, -0.5080429315567017, -0.9135615229606628]",True,0.25239054464628496,0.2772955849583723,4.141145460081724e-38,1.1638062199939164e-36,9.142642059979412e-36,"[-0.10786610841751099, -0.08462018519639969, -0.11554838716983795]",True,2.5761344746314662e-53,8.759855352092715e-38,0.0,9.20809014537398e-75,1.0,1.240819059258248e-50,1.483959331003811e-48,3.7846453698513684e-48,1.0766978196212482e-36,3.142276793983574e-35,2.468513356194441e-34,1.0,1.0,1.0,6.010980440806755e-53,1.8530463244811515e-37,0.0,6.077339495946827e-74
S4 flat vs GRU FA-2D,-0.7736793160438538,1.1179515072689996e-40,1.0766252651998493e-41,0.0,6.882879380106568e-80,1.0,False,0.041786557435989385,0.9785018185226518,1.601227715346028e-10,1.5815084978615996e-37,1.0,1.3671653668361725e-34,1.0,1.0495668110358853e-32,1.0,"[-0.7477010488510132, -0.709201455116272, -0.8641352653503418]",True,0.7463277204752774,1.1321993156635135e-05,3.38821559074068e-39,1.2121475190637568e-36,5.039197415191763e-35,"[-0.21712833642959595, -0.19371092319488525, -0.23095133900642395]",True,2.794878768172499e-39,2.906888216039593e-40,0.0,8.947743194138539e-79,1.0,3.953771244653999e-36,3.4179134170904315e-33,2.6239170275897133e-31,9.148182094999837e-38,3.151583549565768e-35,1.3101913279498584e-33,1.0,1.0,1.0,6.484118742160198e-39,6.35208906467911e-40,0.0,4.749186772273532e-78
FA authors vs ASA 2-D,0.1637505292892456,2.1021546497068542e-24,1.0661019697491632e-34,0.0,3.083252770437153e-306,1.0,False,0.033599030971527104,0.9910418298008635,1.0547193176836317e-10,2.7749905186500115e-21,1.0,2.096359026639395e-18,0.9999999999999998,1.5381696429784224e-16,0.9999999999999889,"[0.09891689568758011, 0.13478513062000275, 0.2575492560863495]",True,0.8930935921426182,2.8139816649042506e-08,8.330671646790179e-32,4.88559400720795e-29,3.59258856801935e-27,"[0.10111358761787415, 0.10451905429363251, 0.1409676969051361]",True,3.363447439530967e-23,2.345424333448159e-33,0.0,7.708131926092883e-305,1.0,4.1624857779750175e-20,3.1445385399590925e-17,2.3072544644676334e-15,1.7494410458259377e-30,9.7711880144159e-28,7.1851771360387e-26,1.0,1.0,1.0,7.988187668886046e-23,5.330509848745816e-33,0.0,2.528267271758466e-304
identity vs blind (Tr 2D),0.040905535221099854,2.3452936729061022e-18,0.012486075264905847,0.07549979763259977,1.2273323131615429e-93,0.9912956048085367,False,0.03679036498069763,0.980418905614697,7.854031333079518e-12,2.7952451028882343e-15,0.9618315712869991,1.7406859358456198e-12,0.9078175937288411,1.1137448910747598e-10,0.8612416870183319,"[0.019390830770134926, 0.25208815932273865, -0.14876191318035126]",False,0.385454455898239,0.0038884017372472395,0.030582374320496507,0.08004186824815782,0.1160988540754,"[-0.0016187458531931043, 0.019718533381819725, -0.012939013540744781]",False,1.6417055710342714e-17,0.049944301059623386,0.15099959526519954,1.8409984697423143e-92,1.0,1.6771470617329407e-14,1.0444115615073718e-11,6.682469346448558e-10,0.12232949728198603,0.32016747299263126,0.3719558094946902,1.0,1.0,1.0,5.394175447684035e-17,0.07491645158943508,0.37749898816299887,8.714059423446955e-92
fa_local vs FA authors (GRU 2D),-0.18997818231582642,9.427182077896444e-26,9.37541330665739e-36,0.0,1.3634452966088519e-281,1.0,False,0.041786557435989385,0.9907994858286021,1.0274561601022144e-10,1.2554042684583264e-22,1.0,9.974040893216582e-20,1.0,7.8571179374024e-18,0.9999999999999991,"[-0.12123961746692657, -0.16351477801799774, -0.2851800322532654]",True,0.837778559207472,4.4791676607605225e-07,4.89308220270925e-33,2.3033099368256818e-30,1.6505421658504198e-28,"[-0.11520030349493027, -0.11983025074005127, -0.1501496285200119]",True,1.6026209532423953e-24,2.2500991935977737e-34,0.0,3.1359241822003596e-280,1.0,2.134187256379155e-21,1.595846542914653e-18,1.257138869984384e-16,1.17433972865022e-31,5.527943848381636e-29,3.6311927648709234e-27,1.0,1.0,1.0,3.770872831158577e-24,4.968969052528417e-34,0.0,1.0907562372870815e-279
fa_sm vs FA authors (GRU 2D),-0.13915669918060303,2.931341124532876e-23,1.6422542104575482e-36,0.0,0.0,1.0,False,0.041786557435989385,0.9906870166241576,1.170268927641776e-10,3.690862790092525e-20,0.9999999999999999,2.6790231347468053e-17,0.9999999999999694,1.9281024697808665e-15,0.9999999999982061,"[-0.058469489216804504, -0.10436125099658966, -0.2546391189098358]",True,0.721037968876587,2.8475073267465914e-05,3.972290004340794e-34,1.3082593919521073e-31,6.2717999850289356e-30,"[-0.1024966910481453, -0.10678642243146896, -0.1335769146680832]",True,4.103877574346026e-22,4.1056355261438705e-35,0.0,0.0,1.0,5.167207906129535e-19,3.7506323886455274e-16,2.3137229637370398e-14,9.930725010851985e-33,3.270648479880268e-30,1.5052319964069444e-28,1.0,1.0,1.0,1.0552828048318353e-21,8.86817273647076e-35,0.0,0.0
fa_local vs fa_sm (GRU 2D),-0.05082148313522339,4.216338004215334e-40,1.4451100003447882e-25,0.0,1.9152685663917793e-141,1.0,False,0.03482872247695923,0.8756192436214706,9.871237961333137e-09,3.8190520647638124e-37,1.0,2.354941140853282e-34,1.0,1.5266003619334044e-32,1.0,"[-0.06277015060186386, -0.059153515845537186, -0.03054087981581688]",True,0.5240414092603415,0.007549261893050481,1.4556262877913476e-23,1.097853264978913e-21,1.7770285735239674e-20,"[-0.012703580781817436, -0.013043821789324284, -0.0165727362036705]",True,1.0119211210116803e-38,2.6011980006206187e-24,0.0,3.6390102761443805e-140,1.0,9.16572495543315e-36,5.651858738047877e-33,3.663840868640171e-31,2.620127318024426e-22,1.9761358769620434e-20,3.1986514323431414e-19,1.0,1.0,1.0,2.3611492823605873e-38,5.635929001344674e-24,0.0,1.4556041104577522e-139
fa_local vs ASA (GRU 2D),-0.02622765302658081,2.2484089156660938e-43,7.633392015905998e-33,0.0,8.072331807618472e-169,5.2009042918850295e-31,True,0.033599030971527104,0.6585881100787416,0.0017205271095130268,3.2837219966982447e-41,7.47573821688359e-29,4.3678272872747206e-39,9.708390328439288e-27,1.3053268389589047e-37,2.833340053782614e-25,"[-0.02232276275753975, -0.028729664161801338, -0.027630791068077087]",True,0.3916201299302256,0.21412868326447973,2.859108356716845e-31,3.991539886486222e-30,1.6610303968662082e-30,"[-0.014086712151765823, -0.015311197377741337, -0.00918192695826292]",True,5.845863180731844e-42,1.5266784031811996e-31,0.0,1.6144663615236944e-167,1.1962079871335567e-29,8.537677191415437e-40,1.1356350946914274e-37,3.393849781293152e-36,5.71821671343369e-30,9.18054173891831e-29,4.152575992165521e-29,1.7194197898832258e-27,2.232929775541036e-25,6.516682123700013e-24,1.3490453493996563e-41,3.5113603273167593e-31,0.0,6.215695491866224e-167
fa_sm vs ASA (GRU 2D),0.024593830108642578,4.075197952916748e-34,0.0009086955491400505,0.1581608513709578,8.075077514975437e-115,1.9937621716485166e-24,True,0.033599030971527104,0.7218821304617651,1.3319490925534857e-05,1.7288194807089172e-31,7.876721955066294e-22,4.5782018614066977e-29,1.872708764352689e-19,8.454294531756854e-28,3.1915324126471673e-18,"[0.04044739156961441, 0.030423864722251892, 0.002910098060965538]",True,0.5357154228732981,0.005039497063129737,0.005183878046111575,0.018681366808275437,0.028860352683276864,"[-0.0013831278774887323, -0.0022673725616186857, 0.007390809711068869]",False,8.965435496416845e-33,0.0054521732948403035,0.1581608513709578,1.29201240239607e-113,4.186900560461885e-23,3.803402857559618e-30,1.0072044095094736e-27,1.8599447969865077e-26,0.031103268276669448,0.11208820084965262,0.1731621160996612,1.6541116105639216e-20,3.932688405140647e-18,6.702218066559051e-17,1.9560950174000393e-32,0.007269564393120404,0.41014552975082413,5.894806585932069e-113
