model,mixer,dims,MSE_reported,MSE_std,MSE_from_dump,seeds_dumped,inference_complete
gru,asa,2d,0.6719806827982486,0.010936849882162727,0.67198070,3,yes
gru,asa,3d,0.6811547131570963,0.01521863001164422,0.68115465,3,yes
gru,asa,4d,0.6828617053689213,0.007504342871618592,0.68286171,3,yes
gru,fa,2d,0.8357311008715342,0.06120551481244006,0.83573105,3,yes
gru,fa,3d,0.8133892922495821,0.07204585149984329,0.81338920,3,yes
gru,fa,4d,0.8247198188906274,0.05372197767591826,0.82471979,3,yes
gru,fa_local,2d,0.6457529470322042,0.013710314274847079,0.64575299,3,yes
gru,fa_local,3d,0.6835053005985259,0.014019643303222735,0.68350532,3,yes
gru,fa_local,4d,0.6891138486513064,0.014038059442232008,0.68911380,3,yes
gru,fa_sm,2d,0.6965744667237644,0.0247614131593962,0.69657451,3,yes
gru,fa_sm,3d,0.7435747662164084,0.028347673884457737,0.74357486,3,yes
gru,fa_sm,4d,0.7252070784965912,0.009328125330341795,0.72520711,3,yes
lstm,asa,2d,0.8480306427417835,0.0035282795779601984,,0,no
lstm,asa,3d,0.858970154087606,0.003462091162062969,0.85897013,3,yes
lstm,asa,4d,0.8565379057846673,0.014660323139959994,0.85653800,3,yes
lstm,fa,2d,0.8842750503871845,0.004259444410873274,,0,no
lstm,fa,3d,0.8701471110382082,0.0034973104766698885,0.87014715,3,yes
lstm,fa,4d,0.865164178624262,0.0019361568626864748,0.86516420,3,yes
lstm,fa_local,2d,0.8750459760485967,0.008666999740588642,0.87504594,3,yes
lstm,fa_local,3d,0.7744382923015398,0.16743711074827156,0.77443822,3,yes
lstm,fa_local,4d,0.7542049526349501,0.20447706557681572,0.75420492,3,yes
lstm,fa_sm,2d,0.8496608599403791,0.0017921712852354969,0.84966089,3,yes
lstm,fa_sm,3d,0.8572329555518161,0.002207942012947874,0.85723309,3,yes
lstm,fa_sm,4d,0.8650956034691094,0.003616840585691041,0.86509566,3,yes
transformer,asa,2d,0.7358072296974671,0.08669747465459592,0.73580720,3,yes
transformer,asa,3d,0.7133444858816828,0.08446415542165368,0.71334438,3,yes
transformer,asa,4d,0.9337070993631222,0.10330634693705548,0.93370726,3,yes
transformer,fa,2d,0.7260162959269012,0.03271610820966427,,0,no
transformer,fa,3d,0.7623968017896633,0.008856008109656208,0.76239679,3,yes
transformer,fa,4d,0.7877097084310224,0.0482209148553072,0.78770963,3,yes
transformer,fa_local,2d,0.6784138563707557,0.03728878157460298,0.67841389,3,yes
transformer,fa_local,3d,0.7436492589177388,0.03761402343776415,0.74364932,3,yes
transformer,fa_local,4d,0.6898146637824883,0.02581610152042563,0.68981465,3,yes
transformer,fa_sm,2d,0.7235651119588585,0.018667842157049214,0.72356514,3,yes
transformer,fa_sm,3d,0.7874203111069885,0.031225737647796223,0.78742031,3,yes
transformer,fa_sm,4d,0.769061464652463,0.03664721185938607,0.76906139,3,yes
