model,variant,enc,params,flops_per_forecast,flops_fwd_total,n_forecasts,peak_mem_GB,analytic_rnn_topup,analytic_fft_topup,analytic_ssd_topup,analytic_attn_topup,one_time_setup_flops,param_only_uncounted,blind_modules,status,local_flops_per_forecast,local_vs_box
gru,aca_2d,embeddings,596654,30850274.82381095,928192218624,30087,14.219,851809665024,0,,,0,,,ok,30850275,same
gru,aca_2d,onehot,799746,53982434.82381095,1624169516544,30087,19.807,851809665024,0,,,0,,,ok,,
gru,aca_2d_id,embeddings,598446,30850274.82381095,928192218624,30087,14.233,851809665024,0,,,0,,,ok,,
gru,aca_2d_id,onehot,801538,53982434.82381095,1624169516544,30087,19.822,851809665024,0,,,0,,,ok,,
gru,aca_3d,embeddings,505094,29306147.761890516,881734067712,30087,13.883,851809665024,0,,,0,,,ok,29306148,same
gru,aca_3d,onehot,505090,29306147.761890516,881734067712,30087,13.882,851809665024,0,,,0,,,ok,,
gru,aca_3d_id,embeddings,678790,29306147.761890516,881734067712,30087,13.898,851809665024,0,,,0,,,ok,,
gru,aca_3d_id,onehot,678786,29306147.761890516,881734067712,30087,13.897,851809665024,0,,,0,,,ok,,
gru,aca_4d,embeddings,553730,30766773.030212384,925679900160,30087,14.770,851809665024,0,,,0,,,ok,30766773,same
gru,aca_4d,onehot,553730,30766773.030212384,925679900160,30087,14.769,851809665024,0,,,0,,,ok,,
gru,aca_4d_id,embeddings,727682,30766773.030212384,925679900160,30087,14.784,851809665024,0,,,0,,,ok,,
gru,aca_4d_id,onehot,727682,30766773.030212384,925679900160,30087,14.783,851809665024,0,,,0,,,ok,,
gru,asa_2d,embeddings,596654,35361704.54801077,1063927604736,30087,16.917,851809665024,0,,,0,,,ok,35361705,same
gru,asa_2d,onehot,799746,58493864.54801077,1759904902656,30087,22.505,851809665024,0,,,0,,,ok,,
gru,asa_2d_id,embeddings,598446,35361704.54801077,1063927604736,30087,16.931,851809665024,0,,,0,,,ok,,
gru,asa_2d_id,onehot,801538,58493864.54801077,1759904902656,30087,22.520,851809665024,0,,,0,,,ok,,
gru,asa_3d,embeddings,505350,69101621.75770266,2079060493824,30087,27.279,851809665024,0,,,0,,,ok,69101622,same
gru,asa_3d,onehot,505346,69101621.75770266,2079060493824,30087,27.278,851809665024,0,,,0,,,ok,,
gru,asa_3d_id,embeddings,679046,69101621.75770266,2079060493824,30087,27.294,851809665024,0,,,0,,,ok,,
gru,asa_3d_id,onehot,679042,69101621.75770266,2079060493824,30087,27.293,851809665024,0,,,0,,,ok,,
gru,asa_4d,embeddings,554242,73533953.22524679,2212416050688,30087,30.607,851809665024,0,,,0,,,ok,73533953,same
gru,asa_4d,onehot,554242,73533953.22524679,2212416050688,30087,30.606,851809665024,0,,,0,,,ok,,
gru,asa_4d_id,embeddings,728194,73533953.22524679,2212416050688,30087,30.622,851809665024,0,,,0,,,ok,,
gru,asa_4d_id,onehot,728194,73533953.22524679,2212416050688,30087,30.621,851809665024,0,,,0,,,ok,,
gru,embeddings,aggregate,412771,29464064.0,707137536,24,0.082,679477248,0,,,0,,,ok,,
gru,embeddings,embeddings,531856,29528576.0,60474523648,2048,0.902,57982058496,0,,,0,,,ok,29528576,same
gru,fa_2d,embeddings,1104942,70589377.66556984,2123822605824,30087,27.258,851809665024,0,,,0,,,ok,70589378,same
gru,fa_2d,onehot,1308034,93721537.66556984,2819799903744,30087,32.847,851809665024,0,,,0,,,ok,,
gru,fa_2d_id,embeddings,1106734,70589377.66556984,2123822605824,30087,27.273,851809665024,0,,,0,,,ok,,
gru,fa_2d_id,onehot,1309826,93721537.66556984,2819799903744,30087,32.862,851809665024,0,,,0,,,ok,,
gru,fa_3d,embeddings,1095686,87384692.3984445,2629143240192,30087,30.757,851809665024,0,,,0,,,ok,87384692,same
gru,fa_3d,onehot,1095682,87384692.3984445,2629143240192,30087,30.756,851809665024,0,,,0,,,ok,,
